id,cfdi_id,clave_prod_serv,no_identificacion,cantidad,clave_unidad,unidad,descripcion,valor_unitario,importe,descuento,objeto_impuesto,metadata,created_at,updated_at
214,205,43231600,CSRN08,1.000000,E48,SERVICIO,"Servicio de descarga masiva de CFDIs: RFCs Ilimitados - 40,000 Descargas CIEC - 2 Equipos - Anual",2399.000000,2399.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
215,206,84111506,"",1.000000,ACT,"",Pago,0.000000,0.00,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
216,207,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
217,208,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
218,209,43231600,CSRN03,1.000000,E48,SERVICIO,"Servicio de descarga masiva de CFDIs: RFCs Ilimitados - 100,000 Descargas CIEC - 3 Equipos - Anual",3899.000000,3899.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
219,210,43231600,CST12,1.000000,E48,SERVICIO,Servicio de interconexion sistemas-sistema a traves de archivos TXT/XML para la generacion de CFDI a partir de tickets,94788.210000,94788.21,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
220,210,43231600,CPG-AD,400000.000000,E48,SERVICIO,400000 transacciones adicionales para el servicio CSPlug,1.020000,408000.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
221,211,43231600,CSF03,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 300 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,1649.000000,1649.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
222,212,14111705,000750194348964,1.000000,H87,PIEZAS,SUAVEL,40.517241,40.52,8.62,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
223,212,47131829,000750105871474,1.000000,H87,PIEZAS,HARPIC 5 PZ,63.793103,63.79,12.93,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
