id,cfdi_concepto_id,created_at,updated_at
45,52,2026-01-15 20:59:52,2026-01-15 20:59:52
46,53,2026-01-15 20:59:52,2026-01-15 20:59:52
47,54,2026-01-15 20:59:52,2026-01-15 20:59:52
48,55,2026-01-15 20:59:52,2026-01-15 20:59:52
49,56,2026-01-15 20:59:52,2026-01-15 20:59:52
50,57,2026-01-15 20:59:52,2026-01-15 20:59:52
51,58,2026-01-15 20:59:52,2026-01-15 20:59:52
52,59,2026-01-15 20:59:52,2026-01-15 20:59:52
53,60,2026-01-15 20:59:52,2026-01-15 20:59:52
54,61,2026-01-15 20:59:52,2026-01-15 20:59:52
55,68,2026-01-15 20:59:52,2026-01-15 20:59:52
56,70,2026-01-15 20:59:52,2026-01-15 20:59:52
57,71,2026-01-15 20:59:52,2026-01-15 20:59:52
58,84,2026-01-15 20:59:52,2026-01-15 20:59:52
59,85,2026-01-15 20:59:52,2026-01-15 20:59:52
60,88,2026-01-15 20:59:52,2026-01-15 20:59:52
61,89,2026-01-15 20:59:52,2026-01-15 20:59:52
62,90,2026-01-15 20:59:52,2026-01-15 20:59:52
63,91,2026-01-15 20:59:52,2026-01-15 20:59:52
64,92,2026-01-15 20:59:52,2026-01-15 20:59:52
65,94,2026-01-15 20:59:52,2026-01-15 20:59:52
66,96,2026-01-15 20:59:52,2026-01-15 20:59:52
67,97,2026-01-15 20:59:52,2026-01-15 20:59:52
68,98,2026-01-15 20:59:52,2026-01-15 20:59:52
69,101,2026-01-15 20:59:52,2026-01-15 20:59:52
70,102,2026-01-15 20:59:52,2026-01-15 20:59:52
71,103,2026-01-15 20:59:52,2026-01-15 20:59:52
72,104,2026-01-15 20:59:52,2026-01-15 20:59:52
73,105,2026-01-15 20:59:52,2026-01-15 20:59:52
74,106,2026-01-15 20:59:52,2026-01-15 20:59:52
75,109,2026-01-15 20:59:52,2026-01-15 20:59:52
76,110,2026-01-15 20:59:52,2026-01-15 20:59:52
77,111,2026-01-15 20:59:52,2026-01-15 20:59:52
78,112,2026-01-15 20:59:52,2026-01-15 20:59:52
79,113,2026-01-15 20:59:52,2026-01-15 20:59:52
80,114,2026-01-15 20:59:52,2026-01-15 20:59:52
81,115,2026-01-15 20:59:52,2026-01-15 20:59:52
82,117,2026-01-15 20:59:52,2026-01-15 20:59:52
83,118,2026-01-15 20:59:52,2026-01-15 20:59:52
84,119,2026-01-15 20:59:52,2026-01-15 20:59:52
85,120,2026-01-15 20:59:52,2026-01-15 20:59:52
86,121,2026-01-15 20:59:52,2026-01-15 20:59:52
87,122,2026-01-15 20:59:52,2026-01-15 20:59:52
88,123,2026-01-15 20:59:52,2026-01-15 20:59:52
89,124,2026-01-15 20:59:52,2026-01-15 20:59:52
90,125,2026-01-15 20:59:52,2026-01-15 20:59:52
91,126,2026-01-15 20:59:52,2026-01-15 20:59:52
92,127,2026-01-15 20:59:52,2026-01-15 20:59:52
93,129,2026-01-15 20:59:52,2026-01-15 20:59:52
94,132,2026-01-15 20:59:52,2026-01-15 20:59:52
95,133,2026-01-15 20:59:52,2026-01-15 20:59:52
96,135,2026-01-15 20:59:52,2026-01-15 20:59:52
97,136,2026-01-15 20:59:52,2026-01-15 20:59:52
98,137,2026-01-15 20:59:52,2026-01-15 20:59:52
99,138,2026-01-15 20:59:52,2026-01-15 20:59:52
100,139,2026-01-15 20:59:52,2026-01-15 20:59:52
101,140,2026-01-15 20:59:52,2026-01-15 20:59:52
102,141,2026-01-15 20:59:52,2026-01-15 20:59:52
103,142,2026-01-15 20:59:52,2026-01-15 20:59:52
104,143,2026-01-15 20:59:52,2026-01-15 20:59:52
105,144,2026-01-15 20:59:52,2026-01-15 20:59:52
106,146,2026-01-15 20:59:52,2026-01-15 20:59:52
107,149,2026-01-15 20:59:52,2026-01-15 20:59:52
108,150,2026-01-15 20:59:52,2026-01-15 20:59:52
109,151,2026-01-15 20:59:52,2026-01-15 20:59:52
110,152,2026-01-15 20:59:52,2026-01-15 20:59:52
111,153,2026-01-15 20:59:52,2026-01-15 20:59:52
112,154,2026-01-15 20:59:52,2026-01-15 20:59:52
113,155,2026-01-15 20:59:52,2026-01-15 20:59:52
114,156,2026-01-15 20:59:52,2026-01-15 20:59:52
115,157,2026-01-15 20:59:52,2026-01-15 20:59:52
116,160,2026-01-15 20:59:52,2026-01-15 20:59:52
117,161,2026-01-15 20:59:52,2026-01-15 20:59:52
118,162,2026-01-15 20:59:52,2026-01-15 20:59:52
119,163,2026-01-15 20:59:52,2026-01-15 20:59:52
120,164,2026-01-15 20:59:52,2026-01-15 20:59:52
121,165,2026-01-15 20:59:52,2026-01-15 20:59:52
122,166,2026-01-15 20:59:52,2026-01-15 20:59:52
123,167,2026-01-15 20:59:52,2026-01-15 20:59:52
124,168,2026-01-15 20:59:52,2026-01-15 20:59:52
125,169,2026-01-15 20:59:52,2026-01-15 20:59:52
126,173,2026-01-15 20:59:52,2026-01-15 20:59:52
127,174,2026-01-15 20:59:52,2026-01-15 20:59:52
128,175,2026-01-15 20:59:52,2026-01-15 20:59:52
129,176,2026-01-15 20:59:52,2026-01-15 20:59:52
130,177,2026-01-15 20:59:52,2026-01-15 20:59:52
131,178,2026-01-15 20:59:52,2026-01-15 20:59:52
132,179,2026-01-15 20:59:52,2026-01-15 20:59:52
