id,cfdi_concepto_impuestos_id,base,impuesto,tipo_factor,tasa_o_cuota,importe,created_at,updated_at
89,89,2516.000000,002,Tasa,0.160000,402.560000,2026-01-15 20:59:52,2026-01-15 20:59:52
90,90,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
91,91,2067.240000,002,Tasa,0.160000,330.760000,2026-01-15 20:59:52,2026-01-15 20:59:52
92,92,289.000000,002,Tasa,0.160000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
93,93,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
94,94,4191.200000,002,Tasa,0.160000,670.592000,2026-01-15 20:59:52,2026-01-15 20:59:52
95,95,1638.000000,002,Tasa,0.160000,262.080000,2026-01-15 20:59:52,2026-01-15 20:59:52
96,96,17599.000000,002,Tasa,0.160000,2815.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
97,97,1479.000000,002,Tasa,0.160000,236.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
98,98,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
99,99,289.000000,002,Tasa,0.160000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
100,100,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
101,101,433.500000,002,Tasa,0.160000,69.360000,2026-01-15 20:59:52,2026-01-15 20:59:52
102,102,2799.000000,002,Tasa,0.160000,447.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
103,103,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
104,104,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
105,105,1169.000000,002,Tasa,0.160000,187.040000,2026-01-15 20:59:52,2026-01-15 20:59:52
106,106,13799.500000,002,Tasa,0.160000,2207.920000,2026-01-15 20:59:52,2026-01-15 20:59:52
107,107,4310.340000,002,Tasa,0.160000,689.660000,2026-01-15 20:59:52,2026-01-15 20:59:52
108,108,87781.250000,002,Tasa,0.160000,14045.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
109,109,11534.000000,002,Tasa,0.160000,1845.440000,2026-01-15 20:59:52,2026-01-15 20:59:52
